record_id,label_true,fname_c1,fname_c2,lname_c1,lname_c2,by,bm,bd
210,463,STEFAN,UWE,WAGNER,,1936,10,25
211,2677,OLIVER,,SCHAEFER,,1977,9,1
212,1487,ANDRE,,SCHULZE,,2000,10,29
213,505,WERNER,,WALTER,,2002,12,31
214,2421,HARALD,,PETERS,,1966,4,16
215,757,KLAUS,,SCHULZ,,1927,4,25
216,4133,KARL,,HOFFMANN,,1985,2,11
217,3315,JAN,,MAYER,,1957,2,6
218,1924,ERNST,,WOLFF,,1943,9,26
219,242,RALF,,HAHN,,1997,2,7
220,4149,RAINER,,MUEGLLER,,1961,7,6
221,2903,GERHARD,,WALTER,,1979,12,3
222,34,MATTHIAS,,KOERTIG,,1954,9,11
223,4167,MICHAEL,,ALBRECHT,,1963,11,22
224,359,WOLFGANG,HANS,HAHN,,1967,8,11
225,1284,FRANK,,LEHMANN,,1951,8,18
226,3612,WERNER,,LUDWIG,,1937,12,21
227,272,CHRISTIAN,,HORN,,1950,7,13
228,2414,PETER,,KOERTIG,,1991,4,27
229,2121,MARCO,,LEHMANN,,1944,7,18
230,752,THOMAS,,STEIN,,1938,12,19
231,3158,MANFRED,,SCHMITT,,1931,7,15
232,1833,MANFRED,,WERNER,,1954,3,14
233,174,OLIVER,,ZIMMERMANN,,1960,11,13
234,4246,HORST,,SCHMIDT,,1952,9,27
235,495,THOMAS,,SCHMIDT,,1971,5,9
236,3107,MICHAEL,,SCHWARZ,,1972,3,27
237,784,KARL,,MAIER,,1964,11,29
238,2433,MANFRED,,WEBER,,1934,2,9
239,338,SVEN,,KRUEGER,,1992,1,22
240,3328,HEINZ,,POHL,,1992,8,6
241,3555,HANS,,SCHULTE,,1964,10,1
242,1632,ROBERT,,SCHROEDER,,2001,12,64
243,2944,JOACHIM,,MARTIN,,2006,5,28
244,4063,HEINRICH,CHRISTIAN,STEIN,,1946,6,28
245,2808,OLIVER,,SCHREIBER,,1957,5,15
246,2685,PETER,,GROSS,,1980,4,21
247,398,PETER,,WINKLER,,1986,12,14
248,686,HARALD,,BAUER,,1986,1,5
249,1993,THOMAS,,ROTH,,1973,3,25
250,4359,ANDREAS,,SCHULTE,,1962,2,18
251,2315,KLAUS,,SCHROEDER,,1969,7,29
252,4237,ANDRE,,SCHREIBER,,1981,9,23
253,1513,HEINRICH,,WEBER,,2008,5,30
254,2523,ROBERT,,LANG,,1946,8,16
255,632,STEFAN,,ENGEL,,1951,10,15
256,2543,CHRISTIAN,,MUELLER,,1973,5,25
257,367,HERMANN,,RICHTER,,1995,1,31
258,2202,ALFRED,,FISCHER,KOEHLER,1939,11,10
259,1059,PAUL,,LEHMANN,,1968,5,27
260,3472,THORSTEN,,MUELLER,,1969,9,9
261,2471,MATTHIAS,,HUBER,,1955,12,10
262,1692,MARCO,,HUBER,,1942,12,27
263,684,KLAUS,,SCHROEDER,,1993,12,29
264,2764,CHRISTIAN,,GROSS,,1932,12,7
265,3373,HOLGER,HEINRICH,FUCHS,,1929,12,2
266,2827,CHRISTIAN,RENE,DIETRICH,,1952,7,12
267,2899,MICHAEL,,WALTER,,1970,7,2
268,3630,JOACHIM,CHRISTIAN,WAGNER,,1999,12,8
269,355,ULRICH,,SCHMITT,,1961,3,22
270,3149,RALF,,WALTER,,1966,7,21
271,3597,GUENTHER,HELMUT,BRAUN,,1950,19,5
272,437,JAN,,SAIER,,1939,9,22
273,2533,GUENTHER,,ERNST,,1966,11,21
274,2140,WOLFGANG,,MOELLER,,1965,5,22
275,3603,PETER,,HOFFMANN,,1974,1,26
276,2549,UWE,,KAISER,,2003,3,19
277,2263,MICHAEL,,MUELLER,,1975,3,9
278,1861,MANFRED,,HUBER,,1933,1,23
279,2747,VOLKER,,SCHOLZ,,1976,9,8
280,353,WILHELM,,LEHMANN,,1937,10,4
281,2423,ANDREAS,,ZIMMERMANN,,1967,11,28
282,3218,MATTHIAS,,BRAUN,,1943,9,7
283,1490,HORST,GERGARD,KOCH,,1957,2,6
284,58,CARSTEN,,FUCHS,,2005,8,4
285,2178,WERNER,MICHAEL,HUBER,,1994,2,8
286,2880,GUENTHER,,SCHMIDT,,1947,3,25
287,3943,CHRISTIAN,,HOFFMANN,,1968,8,20
288,2373,OLAF,,SCHNEIDER,,1981,11,18
289,746,OLIVER,,KRAUSE,,1993,10,21
290,710,WILHELM,,BRAUN,,1996,3,17
291,1928,HELMUT,,SCHNEIDER,,1939,1,20
292,1303,NILS,,WEBER,,1944,10,28
293,2755,NORBERT,,SCHULTE,,1990,5,23
294,1019,HANS,,MEYER,,1973,9,10
295,3302,PETER,,SCHMIDT,,1979,1,8
296,2067,WILHELM,,MUELLER,,1986,2,2
297,4002,ANDREAS,,MAYER,,1961,8,7
298,2216,PETEIR,,KOEHLER,,1952,10,17
299,1033,HELMUT,,MAYER,,1965,7,23
300,1445,THOMAS,,BOEHM,,1964,1,10
301,1052,ERNST,,BRAUN,,1964,7,26
302,4406,PETER,,KRAUS,,1957,6,3
303,428,JUERGEN,,MUELLER,,1985,6,23
304,2176,THORSTEN,,KOCH,,1939,13,19
305,931,ALEXANDER,,ROTH,,1934,12,1
306,997,THORSTEN,,KRUEGER,,1940,8,20
307,3488,HERMANN,,LORENZ,,1953,10,17
308,3236,THOMAS,,SCHAEFER,,1948,8,2
309,4418,ANDRE,,SCHNEIDER,,1934,4,11
310,1884,MICHAEL,,MUELLER,,1973,3,2
311,3018,MANFRED,,HARTMANN,,1996,8,22
312,2094,THOMAS,,SCHNEIDER,,1997,1,20
313,176,KLAUS,,SCHMIDT,,1994,1,31
314,2231,PAUL,,MARTIN,,2008,2,26
315,409,UWE,THOMAS,GROSS,,1963,12,18
316,3964,THOMAS,,SCHMID,,1993,3,5
317,1869,ANDREAS,,WEBER,,1967,2,21
318,2371,ERWIN,ROLF,ZIMMERMANN,,1995,10,28
319,3600,PETER,,HARTMANN,,1957,2,19
320,2470,MICHAEL,,WEBER,,1962,11,10
321,2039,JUERGEN,,WOLFF,,1939,7,24
322,3649,ANDREAS,,KRUEGER,,1967,13,10
323,132,KLAUS,,BAUER,,2000,5,15
324,4244,MICHAEL,,SCHMIDT,,1944,5,20
325,3103,FRANK,,FRANKE,,1929,5,17
326,3585,STEFAN,,BAUER,,2004,12,19
327,1647,ROELF,,SCHAEFER,,1939,7,22
328,129,STEFAN,,HUBER,,1933,5,27
329,1916,WILHELM,,SCHMIDT,,1952,5,15
330,2469,SVEN,PETER,WEBER,,1964,11,17
331,125,WOLFGANG,,WEISS,,1943,12,13
332,581,DANIEL,,HOFMANN,,1978,11,15
333,197,ANDREAS,,MAYER,,1940,6,21
334,942,WERNER,,MOELLER,,1946,6,7
335,2048,PETER,,MUELLER,,1950,4,2
336,1363,WOLFGANG,,MEYER,,1977,10,2
337,3898,PETER,UWE,KLEIN,,1962,4,25
338,1197,HEIKO,,SCHNEIDER,,1931,8,24
339,3710,PETER,,ALBRECHT,,1941,2,15
340,1448,JOACHIM,,SCHULZ,,1947,4,10
341,3490,JOACHIM,,SCHMIDT,,1986,4,23
342,1137,ALEXANDER,,BAUMANN,,1957,9,7
343,502,HANS,,WALTER,,1964,4,12
344,3617,HARALD,,JUNG,,1952,8,28
345,1643,HORSST,,KUHN,,1959,12,4
346,2495,STEFAN,,PETERS,,1999,5,14
347,2480,WALTER,,HOFFMANN,,1968,1,22
348,1572,WILHELM,,LUDWIG,,1997,3,23
349,1026,BERNHD,,KRUEGER,,1968,5,17
350,3093,CARSTEN,,MARTIN,,1990,3,2
351,2264,JOERG,,WERNER,,1961,7,22
352,2994,NORBERT,,BERGMANN,,1964,5,14
353,276,JENS,,SCHNEIDER,,1963,7,28
354,2057,MARTIN,,BECKER,,1931,9,23
355,3190,SIEGFRIED,ANDREAS,BRAUN,,1955,2,8
356,2406,MICHAEL,,HOFMANN,,1931,7,1
357,2500,JAN,,BECKER,,1984,3,28
358,728,WERNMER,,KUEHN,,1977,6,23
359,2372,STEFAN,,MAYER,,1950,9,24
360,3805,GERHARD,,LANGE,,1961,3,8
361,3452,FRANK,,HAAS,,1957,3,9
362,159,FLORIAN,,MEIER,,2002,1,9
363,2953,ALFRED,,ZIEGLER,,1946,4,11
364,747,STEFAN,,SCHULTE,,1995,3,22
365,1465,HEINZ,,FISCHER,,1980,4,26
366,1733,ANDREAS,,HEINRICH,,1947,9,6
367,2402,HELMUT,,KLEIN,,1968,3,27
368,1361,ANDREAS,,KLEIN,,1931,4,24
369,345,MANFRED,,MUELLER,,1927,3,20
370,3006,HORST,,FISCHER,,1939,6,17
371,250,GERHARD,,BECKER,,1957,4,27
372,71,FRANK,,BAUER,,1996,4,16
373,4127,UWE,,MAIER,,1935,2,28
374,151,CARSTEN,,SCHNEIDER,,1944,1,22
375,419,CARSTEN,,HARTMANN,,1962,2,18
376,4269,THORSTEN,HEINZ,HUBER,,1947,12,26
377,3690,KLAUS,,FISCHER,,1988,1,16
378,2300,NILS,,LEHMANN,,1948,8,29
379,2154,MARTIN,,MUELLDR,,1977,5,27
380,4425,HEINZ,,HARTMANN,,1937,7,20
381,2070,HORST,,MEYER,,1991,7,12
382,66,CARSTEN,,SCHAEFER,,2006,1,27
383,4304,OLIVER,,FRANKE,,1944,9,14
384,1251,MARTIN,,WEBER,,1929,9,20
385,1830,KAI,,BRAUN,,1993,4,25
386,3738,HELMUT,,MEYER,,1953,5,3
387,3980,STEFAN,,BECKER,,2005,12,15
388,2285,GERHARD,,KLEIN,,1931,5,16
389,3477,MICHAEL,,HERRMANN,,2006,7,17
390,3681,MARIO,,KAISER,,2006,9,17
391,2071,JUERGEN,,PETERS,,1976,9,1
392,2316,UWE,ANDREAS,POHL,,1999,4,27
393,156,ANDREAS,KLAUS,MEYER,,1982,5,23
394,1392,SVEN,,SCHNEIDER,,1928,5,20
395,2774,SVEN,,SCHWARZ,,1980,6,2
396,116,JUERGEN,,ERNST,,1950,6,18
397,363,DIETER,,SCHAEFER,,1952,12,12
398,172,GUENTHER,,THOMAS,,2004,2,17
399,3517,THORSTEN,,BRAUN,,1946,2,13
400,1260,HANS,,WEBER,,2008,5,23
401,2516,FRIEDRICH,,MEYER,,1986,7,6
402,4256,MANFRED,,MEYER,,1972,6,13
403,397,JOACHIM,,ENGEL,,1948,6,18
404,2735,JUERGEN,,SCHMITZ,,1949,9,28
405,945,UWE,,LANG,,1973,10,31
406,3695,JAN,,MARTIN,,1958,6,19
407,4377,SEBASTIAN,,KRAUSE,,1989,1,6
408,4181,MARTIN,,KOCH,,1944,11,30
409,3937,DETLEF,,BUSCH,,1967,4,18
410,1517,GERHARD,,WALTER,,1972,5,30
411,2612,HERBERT,,BAUER,,2008,8,20
412,2037,CARSTEN,,WAGNER,,1934,4,21
413,274,KLAUS,,WAGNER,,1955,6,23
414,425,WERNER,,FRANK,,1989,6,3
415,774,HELMUT,,RICHTER,,1941,5,21
416,729,JUERGEN,,MUELLER,,1956,3,7
417,1508,ANDREAS,,SCHMITT,,1961,8,24
418,2559,GERD,,HOFFMANN,,1992,0,8
419,4089,ANDREANS,KARL,HOFMANN,,1954,12,19
420,1913,ROLF,,MUELLER,,2000,4,29
421,1372,MANFRESD,,FUCHS,,1956,7,18
422,1404,PAUL,,SCHMITZ,,2004,7,15
423,542,WOLFGANG,,SCHMITZ,,1983,12,16
424,2458,MICHAEL,DIETER,SCHAEFER,,1990,6,5
425,2320,ANDREAS,BERND,KOEHLER,,2000,1,2
426,923,JOERG,,ZIMMERMANN,,1961,7,4
427,2512,HERMANN,,KAISER,,1967,2,7
428,3235,HEINZ,,SCHWARZ,,1968,9,30
429,3347,GERHARD,WERNER,SCHULZ,,1937,10,20
430,1122,MICHAEL,,KRUEGER,,1942,6,11
431,107,JUERGEN,,ZIMMERMANN,,1971,2,9
432,1922,THOMAS,,HOFFMANN,,2007,12,13
433,3700,GERD,,SCHAEFER,,1963,1,11
434,860,OLAF,,BECK,,1975,1,31
435,2688,JAN,,SCHAEFER,,1957,1,24
436,1156,CHRISTIAN,,KRUEGER,,1933,8,15
437,3674,DIETER,,MEYER,,1953,12,17
438,284,KLAUS,HEINRICH,KUHN,,1986,3,26
439,2224,JOERG,,WEBER,,1999,6,13
440,4485,DIETER,,JAEGER,,2008,3,26
441,2865,HOLGER,,STEIN,,1959,10,13
442,3484,GUENTHER,ULRICH,SCHROEDER,,2008,11,3
443,4303,BERND,,KOCH,,2007,8,17
444,1568,HELMUT,,LANGE,,1994,3,17
445,4062,PETER,,FRANK,,1990,5,2
446,2166,STEFAN,,KRUEGER,,1939,8,29
447,4257,CHRISTIAN,,KLEIN,,1954,5,15
448,1764,KURT,,FRIEDRICH,,1967,6,20
449,1070,HERMANN,,HEINRICH,,2003,11,17
450,158,HEINRICH,,MUELLER,,2002,1,10
451,230,ANDREAS,,BECK,,1969,7,9
452,3396,OLAF,,HOFFMANN,,1931,6,9
453,3319,KLAUS,,BRAUN,,1934,11,25
454,2628,GEORG,,HOFFMANN,,1928,8,5
455,1657,WOLFGANG,,FISCHER,,1967,2,26
456,3494,BERND,,SCHAEFER,,1952,9,9
457,514,HORST,,FRIEDRICH,,1996,6,19
458,194,MICHAEL,HARALD,KOEHLER,,1948,10,27
459,559,MAWIK,,BERGER,,1978,6,13
460,1910,RUDOLF,,THOMAS,,1995,7,22
461,797,HERMANN,,KOCH,,1925,7,7
462,2280,GUENTHER,KURT,LANGE,,1986,1,7
463,1399,HERMANN,,WEBER,,1958,4,22
464,2113,KLAUS,,MEYER,,1946,10,21
465,390,MATTHIAS,,BECKER,,1940,7,17
466,4222,FRANK,,KRUEGER,,1952,8,5
467,93,HELMUT,,MEYER,,1960,12,19
468,3527,WERNER,,SCHMIDT,,1965,10,19
469,1781,RAINER,,WEBER,,1995,3,22
470,391,KLAUS,,THOMAS,,1997,1,8
471,3987,MARTIN,,ERNST,,1942,5,15
472,1785,WERNER,,SCHULZ,,1959,6,23
473,2125,WOLFGANG,,SCHULZE,WINTER,1931,9,18
474,3084,WERNER,,SCHMIDT,,1953,8,24
475,4104,JENS,,SCHMIDT,,1995,12,20
476,2798,OTTO,,SCHMITZ,,1942,2,11
477,868,JAN,,MUELLER,,1988,3,20
478,599,MAIK,,SCHULZE,,1961,1,15
479,1284,FRANK,,LEHMANN,,1952,8,18
480,296,HEINZ,,SCHROEDER,,1945,5,4
481,214,OLIVER,,HERRMANN,,1934,2,9
482,1678,GERHARD,,HOFFMANN,,1960,8,25
483,430,GUENTHER,,MARTIN,,1968,5,16
484,3143,UWE,,SCHULZ,,1962,5,27
485,168,JAN,,WOLFF,,2008,9,17
486,702,RAINER,THORSTEN,WERNER,,1939,10,17
487,2875,STEFAN,,SCHWARZ,,1963,10,26
488,2958,BERNHARD,,ZIEGLER,,1926,7,26
489,4373,RALF,,BRAUN,,1943,10,20
490,3128,HEINRICH,,MUELLER,,1977,12,26
491,232,HORSZT,,SCHWARZ,,9185,10,14
492,1589,DIETER,,BAUER,,1979,5,22
493,3542,JAN,,WERNER,,1955,10,19
494,561,THOMAS,,MUELKER,,1962,12,12
495,3815,GERHARD,,SCHMIDT,,1974,2,19
496,1605,HEINZ,,MUELLER,,1946,3,28
497,2131,FRANK,,SCHROEDER,,1952,4,18
498,1682,OLAF,,HARTMANN,,1974,1,15
499,1086,VOLKER,,RICHTER,,1960,8,18
500,4465,PETER,,SCHNEIDER,,1956,3,4
501,2871,MARCEL,,NEUMANN,,1931,9,21
502,321,MATTHIAS,,MEIER,,1985,12,30
503,2820,CHRISTOPH,,SCHMIDT,,2001,12,24
504,1062,RALF,,MEYER,,1978,8,25
505,80,SVEN,,MUELLER,,1950,3,16
506,2598,SVEN,,WERNER,,1978,12,27
507,2504,DIRK,,SCHUBERT,,1981,4,25
508,2376,CHRISTOPH,,MEIER,,1985,6,22
509,1849,JUERGEN,,MEYER,,1976,5,15
510,1021,JUERGEN,,LANGE,,1969,5,25
511,1456,OTTO,,FRIEDRICH,,1944,7,3
512,1862,JUERGEN,,SCHMITT,,2001,11,24
513,1689,MARCO,,KRUEGER,,1981,6,21
514,2392,WERNER,,JAEGER,,1960,11,25
515,3954,UWE,,HARTMANN,,2007,8,22
516,3625,FRANK,,JUNG,,1976,1,29
517,2097,DENNIS,,LANGE,,1998,5,15
518,2800,RAINER,,FISCHER,,1979,10,26
519,3559,KLAUS,PETER,SCHMID,,2007,11,27
520,990,UWE,,MUELLER,,1965,7,2
521,949,HERMANN,,KUHN,,1985,7,4
522,2409,HORST,,FRANK,,1942,2,24
523,245,JUERGEN,,SCHMID,,1943,9,3
524,4232,KLAUS,,SCHWARZ,,1975,12,11
525,1879,SIEGFRIED,,MOELLER,,1942,1,19
526,371,ANDREAS,,SEIDEL,,2005,6,30
